CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
277276101,EGP,Eastgroup Properties Inc,0,-10864,0,-2.03M,CLOSE,0%
337738108,FISV,Fiserv Inc.,393069,-9893,80.74M,-2.03M,-2.5%,0.24%
783549108,R,Ryder System Inc,24929,-13022,3.91M,-2.04M,-34.3%,0.01%
92556H206,PSKY,Paramount Global,7300,-208564,76.36K,-2.18M,-96.6%,<.01%
38526M106,LOPE,Grand Canyon Education Inc,23724,-13679,3.89M,-2.24M,-36.6%,0.01%
006739106,ADUS,Addus HomeCare Corp,13149,-18072,1.65M,-2.27M,-57.9%,<.01%
00766T100,ACM,Aecom,130760,-22080,13.97M,-2.36M,-14.4%,0.04%
688239201,OSK,Oshkosh Corp.,0,-23992,0,-2.4M,CLOSE,0%
29084Q100,EME,EMCOR Group Inc.,29710,-5389,13.49M,-2.45M,-15.4%,0.04%
257651109,DCI,Donaldson Co. Inc.,85686,-36589,5.77M,-2.46M,-29.9%,0.02%
070830104,BBWI,Bath & Body Works Inc,12549,-65402,486.52K,-2.54M,-83.9%,<.01%
36118L106,FUTU,Futu Holdings Ltd,23600,-32351,1.89M,-2.59M,-57.8%,<.01%
705573103,PEGA,Pegasystems Inc,50590,-27940,4.71M,-2.6M,-35.6%,0.01%
G0692U109,AXS,Axis Capital Holdings Ltd,44738,-29735,3.96M,-2.64M,-39.9%,0.01%
03783C100,APPF,Appfolio Inc,7514,-10831,1.85M,-2.67M,-59%,<.01%
422806109,HEI,HEICO Corp,35100,-11500,8.34M,-2.73M,-24.7%,0.02%
407497106,HLNE,Hamilton Lane Incorporated A,0,-16401,0,-2.76M,CLOSE,0%
G6700G107,NVT,nVent Electric PLC,400,-41047,27.26K,-2.8M,-99%,<.01%
426281101,JKHY,Jack Henry & Associates Inc.,75448,-16829,13.23M,-2.95M,-18.2%,0.04%
04621X108,AIZ,Assurant Inc,26171,-14041,5.58M,-2.99M,-34.9%,0.02%
859241101,STRL,Sterling Infrastructure Inc,22081,-17868,3.72M,-3.01M,-44.7%,0.01%
G25508105,CRH,CRH PLC,497086,-33356,45.99M,-3.09M,-6.3%,0.14%
000360206,AAON,Aaon Inc,40497,-28000,4.77M,-3.3M,-40.9%,0.01%
494368103,KMB,Kimberly-Clark Corp.,183311,-25266,24.02M,-3.31M,-12.1%,0.07%
31428X106,FDX,FedEx Corp.,118354,-11897,33.3M,-3.35M,-9.1%,0.1%
64110L106,NFLX,Netflix Inc,259900,-3870,231.65M,-3.45M,-1.5%,0.69%
104674106,BRC,Brady Corp. A,23561,-47188,1.74M,-3.48M,-66.7%,<.01%
87612E106,TGT,Target Corp,230293,-27102,31.13M,-3.66M,-10.5%,0.09%
35137L105,FOXA,Fox Corp A,161288,-75554,7.84M,-3.67M,-31.9%,0.02%
920253101,VMI,Valmont Industries Inc.,6204,-12020,1.9M,-3.69M,-66%,<.01%
751212101,RL,Ralph Lauren Corp A,29512,-16011,6.82M,-3.7M,-35.2%,0.02%
46266C105,IQV,IQVIA Holdings Inc,96118,-18897,18.89M,-3.71M,-16.4%,0.06%
115236101,BRO,Brown & Brown Inc,210291,-37419,21.45M,-3.82M,-15.1%,0.06%
141788109,CARG,Cargurus Inc,80646,-104611,2.95M,-3.82M,-56.5%,<.01%
008252108,AMG,Affiliated Managers Group Inc,200,-20732,36.98K,-3.83M,-99%,<.01%
077454106,BDC,Belden Inc.,40124,-34491,4.52M,-3.88M,-46.2%,0.01%
03209R103,AMPH,Amphastar Pharmaceuticals Inc,0,-80080,0,-3.89M,CLOSE,0%
681919106,OMC,Omnicom Group Inc.,180672,-50555,15.55M,-4.35M,-21.9%,0.05%
Y2573F102,FLEX,Flex Ltd,37373,-113632,1.43M,-4.36M,-75.3%,<.01%
148806102,CTLT,Catalent Inc,0,-74724,0,-4.53M,CLOSE,0%
78377T107,RHP,Ryman Hospitality Properties Inc,16611,-43699,1.73M,-4.56M,-72.5%,<.01%
629209305,NMIH,NMI Holdings Inc,40950,-124523,1.51M,-4.58M,-75.3%,<.01%
142339100,CSL,Carlisle Cos Inc,24288,-12836,8.96M,-4.73M,-34.6%,0.03%
