CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
266042407,DUOT,DUOS TECHNOLOGIES GROUP INC,70022,-34978,787.75K,-393.5K,-33.3%,0.13%
573874104,MRVL,MARVELL TECHNOLOGY INC,5004,-4996,425.24K,-424.56K,-50%,0.07%
25787G100,DFIN,DONNELLEY FINL SOLUTIONS INC,0,-8655,0,-445.13K,CLOSE,0%
G83752124,SVIUF,SPRING VALLEY ACQUISTN CORP,0,-43500,0,-447.18K,CLOSE,0%
87422Q109,TLN,TALEN ENERGY CORP,2000,-1240,749.68K,-464.8K,-38.3%,0.12%
48581R205,KSPI,KASPI KZ JSC,0,-6000,0,-490.08K,CLOSE,0%
65345N106,NN,NEXTNAV INC,25790,-29987,429.15K,-498.98K,-53.8%,0.07%
36317J209,GLXY,GALAXY DIGITAL INC.,0,-15068,0,-509.45K,CLOSE,0%
G1991X109,BANL,CBL INTL LTD,0,-17176,0,-525.24K,CLOSE,0%
73933G202,PSIX,POWER SOLUTIONS INTL INC,21139,-9496,1.21M,-542.6K,-31%,0.2%
577933104,MMS,MAXIMUS INC,0,-6000,0,-548.22K,CLOSE,0%
874039100,TSM,TAIWAN SEMICONDUCTOR MFG LTD,0,-2000,0,-558.58K,CLOSE,0%
20459V105,GPGI,COMPOSECURE INC,4198078,-29975,80.94M,-577.92K,-0.7%,13.4%
366505105,GTX,GARRETT MOTION INC,50530,-41991,880.74K,-731.9K,-45.4%,0.15%
002205102,AZ,A2Z CUST2MATE SOLUTIONS CORP,0,-92000,0,-735.08K,CLOSE,0%
02074J501,ACOG,ALPHA COGNITION INC,0,-134898,0,-878.19K,CLOSE,0%
78473E103,SPXC,SPX TECHNOLOGIES INC,100662,-4785,20.14M,-957.29K,-4.5%,3.3%
21874A106,CORZ,CORE SCIENTIFIC INC NEW,0,-66858,0,-1.2M,CLOSE,0%
00187Y100,APG,API GROUP CORP,718630,-32382,27.49M,-1.24M,-4.3%,4.5%
171484108,CHDN,CHURCHILL DOWNS INC,20333,-11494,2.31M,-1.31M,-36.1%,0.38%
88160R101,TSLA,TESLA INC,0,-3137,0,-1.4M,CLOSE,0%
60471A101,MIR,MIRION TECHNOLOGIES INC,982419,-63378,23.01M,-1.48M,-6.1%,3.8%
380237107,GDDY,GODADDY INC,93280,-12377,11.57M,-1.54M,-11.7%,1.9%
N97284108,NBIS,NEBIUS GROUP N.V.,19611,-18898,1.64M,-1.58M,-49.1%,0.27%
46144X131,SARK,INVESTMENT MANAGERS SER TR I,0,-65000,0,-1.86M,CLOSE,0%
92537N108,VRT,VERTIV HOLDINGS CO,593552,-11915,96.16M,-1.93M,-2%,15.9%
518613203,LAUR,LAUREATE EDUCATION INC,1850790,-60394,62.32M,-2.03M,-3.2%,10.3%
464287481,IWP,ISHARES TR,0,-18000,0,-2.56M,CLOSE,0%
69120X206,OWLT,OWLET INC,104389,-258960,1.69M,-4.19M,-71.3%,0.28%
02079K107,GOOG,ALPHABET INC,0,-39437,0,-9.59M,CLOSE,0%
Total,,,,,604.48M,15.93M,+2.8%,100%
