CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
83207R107,SDHC,SMITH DOUGLAS HOMES CORP,1433350,581794,24.04M,9.76M,+68.3%,4%
398905109,GPI,GROUP 1 AUTOMOTIVE INC,568424,0,223.56M,0,NO CHANGE,37%
29452E101,EQH,EQUITABLE HLDGS INC,4200000,0,200.13M,0,NO CHANGE,33.2%
536797103,LAD,LITHIA MTRS INC,400000,0,132.93M,0,NO CHANGE,22%
76674Q107,RMNI,RIMINI STR INC DEL,5913199,0,22.94M,0,NO CHANGE,3.8%
Total,,,,,603.6M,9.76M,+1.5%,100%
