CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
464287200,IVV,ISHARES TR,36965,-4557,25.48M,-3.14M,-11%,14.7%
921946406,VYM,VANGUARD WHITEHALL FDS,0,-27150,0,-3.83M,CLOSE,0%
921908844,VIG,VANGUARD SPECIALIZED FUNDS,33978,-17503,7.7M,-3.97M,-34%,4.4%
57636Q104,MA,MASTERCARD INCORPORATED,0,-7812,0,-4.44M,CLOSE,0%
023135106,AMZN,AMAZON COM INC,9611,-19445,2.24M,-4.53M,-66.9%,1.3%
02079K107,GOOG,ALPHABET INC,8300,-13629,2.77M,-4.54M,-62.2%,1.6%
808524797,SCHD,SCHWAB STRATEGIC TR,339666,-186750,10.53M,-5.79M,-35.5%,6.1%
46090E103,QQQ,INVESCO QQQ TR,2244,-10542,1.36M,-6.39M,-82.4%,0.78%
594918104,MSFT,MICROSOFT CORP,4582,-15602,1.9M,-6.46M,-77.3%,1.1%
464287168,DVY,ISHARES TR,130953,-46620,20.21M,-7.2M,-26.3%,11.6%
67066G104,NVDA,NVIDIA CORPORATION,21953,-127495,3.82M,-22.21M,-85.3%,2.2%
037833100,AAPL,APPLE INC,4850,-91415,1.34M,-25.27M,-95%,0.77%
Total,,,,,173.51M,-141.45M,-46.4%,100%
