CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
94106L109,WM,WASTE MGMT INC DEL,670,0,147.21K,0,NO CHANGE,0.19%
573874104,MRVL,MARVELL TECHNOLOGY INC,1723,0,146.42K,0,NO CHANGE,0.19%
78462F103,SPY,SPDR S&P 500 ETF TR,207,0,141.16K,0,NO CHANGE,0.18%
78463V107,GLD,SPDR GOLD TR,337,0,133.56K,0,NO CHANGE,0.17%
53220K504,LGND,LIGAND PHARMACEUTICALS INC,710,0,129.75K,0,NO CHANGE,0.16%
883556102,TMO,THERMO FISHER SCIENTIFIC INC,223,0,129.22K,0,NO CHANGE,0.16%
G29183103,ETN,EATON CORP PLC,311,0,99.06K,0,NO CHANGE,0.13%
088929104,BGC,BGC GROUP INC,10560,0,97.68K,0,NO CHANGE,0.12%
92204A801,VAW,VANGUARD WORLD FD,393,0,81.57K,0,NO CHANGE,0.1%
66987V109,NVS,NOVARTIS AG,590,0,81.34K,0,NO CHANGE,0.1%
363576109,AJG,GALLAGHER ARTHUR J & CO,300,0,77.64K,0,NO CHANGE,0.1%
055622104,BP,BP PLC,1842,0,63.97K,0,NO CHANGE,0.08%
47233W109,JEF,JEFFERIES FINL GROUP INC,1140,0,62.67K,0,NO CHANGE,0.08%
92204A504,VHT,VANGUARD WORLD FD,193,0,55.55K,0,NO CHANGE,0.07%
46434V621,DGRO,ISHARES TR,800,0,55.54K,0,NO CHANGE,0.07%
000868109,ACNB,ACNB CORP,1060,0,55.25K,0,NO CHANGE,0.07%
512807306,LRCX,LAM RESEARCH CORP,300,0,51.35K,0,NO CHANGE,0.07%
02079K107,GOOG,ALPHABET INC,160,0,50.21K,0,NO CHANGE,0.06%
78467Y107,MDY,SPDR S&P MIDCAP 400 ETF TR,82,0,49.47K,0,NO CHANGE,0.06%
92204A405,VFH,VANGUARD WORLD FD,368,0,49.12K,0,NO CHANGE,0.06%
31847R102,FAF,FIRST AMERN FINL CORP,660,0,44.13K,0,NO CHANGE,0.06%
437872104,HTB,HOMETRUST BANCSHARES INC,1010,0,44.09K,0,NO CHANGE,0.06%
09290D101,BLK,BLACKROCK INC,40,0,42.81K,0,NO CHANGE,0.05%
83190L208,SMBK,SMARTFINANCIAL INC,970,0,40.12K,0,NO CHANGE,0.05%
92204A702,VGT,VANGUARD WORLD FD,52,0,39.2K,0,NO CHANGE,0.05%
92204A306,VDE,VANGUARD WORLD FD,289,0,36.39K,0,NO CHANGE,0.05%
92204A884,VOX,VANGUARD WORLD FD,182,0,35.24K,0,NO CHANGE,0.04%
922908629,VO,VANGUARD INDEX FDS,120,0,34.83K,0,NO CHANGE,0.04%
235851102,DHR,DANAHER CORPORATION,145,0,33.19K,0,NO CHANGE,0.04%
G5960L103,MDT,MEDTRONIC PLC,343,0,32.95K,0,NO CHANGE,0.04%
92204A108,VCR,VANGUARD WORLD FD,80,0,31.51K,0,NO CHANGE,0.04%
922908637,VV,VANGUARD INDEX FDS,100,0,31.48K,0,NO CHANGE,0.04%
30257X104,FBK,FB FINL CORP,520,0,30.82K,0,NO CHANGE,0.04%
631103108,NDAQ,NASDAQ INC,300,0,29.14K,0,NO CHANGE,0.04%
00162Q338,ELFY,ALPS ETF TR,750,0,26.4K,0,NO CHANGE,0.03%
052769106,ADSK,AUTODESK INC,89,0,26.34K,0,NO CHANGE,0.03%
833445109,SNOW,SNOWFLAKE INC,115,0,25.23K,0,NO CHANGE,0.03%
65339F101,NEE,NEXTERA ENERGY INC,300,0,24.08K,0,NO CHANGE,0.03%
217204106,CPRT,COPART INC,612,0,23.96K,0,NO CHANGE,0.03%
00217D100,ASTS,AST SPACEMOBILE INC,320,0,23.24K,0,NO CHANGE,0.03%
78464A755,XME,SPDR SERIES TRUST,200,0,20.72K,0,NO CHANGE,0.03%
55261F104,MTB,M & T BK CORP,100,0,20.15K,0,NO CHANGE,0.03%
78467X109,DIA,SPDR DOW JONES INDL AVERAGE,40,0,19.22K,0,NO CHANGE,0.02%
120076104,BBW,BUILD-A-BEAR WORKSHOP INC,313,0,19.18K,0,NO CHANGE,0.02%
46641Q761,JQUA,J P MORGAN EXCHANGE TRADED F,300,0,18.95K,0,NO CHANGE,0.02%
874054109,TTWO,TAKE-TWO INTERACTIVE SOFTWAR,70,0,17.92K,0,NO CHANGE,0.02%
654106103,NKE,NIKE INC,271,0,17.27K,0,NO CHANGE,0.02%
00162Q478,DTEC,ALPS ETF TR,352,0,17.1K,0,NO CHANGE,0.02%
252131107,DXCM,DEXCOM INC,228,0,15.13K,0,NO CHANGE,0.02%
172908105,CTAS,CINTAS CORP,80,0,15.05K,0,NO CHANGE,0.02%
40434L105,HPQ,HP INC,628,0,13.99K,0,NO CHANGE,0.02%
75513E101,RTX,RTX CORPORATION,75,0,13.76K,0,NO CHANGE,0.02%
12514G108,CDW,CDW CORP,99,0,13.48K,0,NO CHANGE,0.02%
34959E109,FTNT,FORTINET INC,168,0,13.34K,0,NO CHANGE,0.02%
90364P105,PATH,UIPATH INC,803,0,13.16K,0,NO CHANGE,0.02%
69374H386,TRFK,PACER FDS TR,165,0,10.57K,0,NO CHANGE,0.01%
494368103,KMB,KIMBERLY-CLARK CORP,100,0,10.09K,0,NO CHANGE,0.01%
247361702,DAL,DELTA AIR LINES INC DEL,140,0,9.72K,0,NO CHANGE,0.01%
G1151C101,ACN,ACCENTURE PLC IRELAND,34,0,9.12K,0,NO CHANGE,0.01%
909907107,UBSI,UNITED BANKSHARES INC WEST V,200,0,7.68K,0,NO CHANGE,<.01%
034164103,ANDE,ANDERSONS INC,141,0,7.5K,0,NO CHANGE,<.01%
74340W103,PLD,PROLOGIS INC.,58,0,7.4K,0,NO CHANGE,<.01%
00130H105,AES,AES CORP,500,0,7.17K,0,NO CHANGE,<.01%
74967X103,RH,RH,40,0,7.17K,0,NO CHANGE,<.01%
550021109,LULU,LULULEMON ATHLETICA INC,29,0,6.03K,0,NO CHANGE,<.01%
227046109,CROX,CROCS INC,70,0,5.99K,0,NO CHANGE,<.01%
7591EP100,RF,REGIONS FINANCIAL CORP NEW,200,0,5.42K,0,NO CHANGE,<.01%
98956P102,ZBH,ZIMMER BIOMET HOLDINGS INC,55,0,4.95K,0,NO CHANGE,<.01%
291011104,EMR,EMERSON ELEC CO,30,0,3.98K,0,NO CHANGE,<.01%
02043Q107,ALNY,ALNYLAM PHARMACEUTICALS INC,10,0,3.98K,0,NO CHANGE,<.01%
458140100,INTC,INTEL CORP,100,0,3.69K,0,NO CHANGE,<.01%
29786A106,ETSY,ETSY INC,66,0,3.66K,0,NO CHANGE,<.01%
053015103,ADP,AUTOMATIC DATA PROCESSING IN,14,0,3.6K,0,NO CHANGE,<.01%
09061G101,BMRN,BIOMARIN PHARMACEUTICAL INC,60,0,3.57K,0,NO CHANGE,<.01%
002824100,ABT,ABBOTT LABS,26,0,3.26K,0,NO CHANGE,<.01%
N07059210,ASML,ASML HOLDING N V,3,0,3.21K,0,NO CHANGE,<.01%
369550108,GD,GENERAL DYNAMICS CORP,9,0,3.03K,0,NO CHANGE,<.01%
G54950103,LIN,LINDE PLC,7,0,2.98K,0,NO CHANGE,<.01%
91324P102,UNH,UNITEDHEALTH GROUP INC,9,0,2.97K,0,NO CHANGE,<.01%
03027X100,AMT,AMERICAN TOWER CORP NEW,16,0,2.81K,0,NO CHANGE,<.01%
452308109,ITW,ILLINOIS TOOL WKS INC,11,0,2.71K,0,NO CHANGE,<.01%
126650100,CVS,CVS HEALTH CORP,34,0,2.7K,0,NO CHANGE,<.01%
86800U302,SMCI,SUPER MICRO COMPUTER INC,90,0,2.63K,0,NO CHANGE,<.01%
049468101,TEAM,ATLASSIAN CORPORATION,15,0,2.43K,0,NO CHANGE,<.01%
88339J105,TTD,THE TRADE DESK INC,63,0,2.39K,0,NO CHANGE,<.01%
172573107,CRCL,CIRCLE INTERNET GROUP INC,30,0,2.38K,0,NO CHANGE,<.01%
921932703,VOOV,VANGUARD ADMIRAL FDS INC,10,0,2.05K,0,NO CHANGE,<.01%
69374H709,GCOW,PACER FDS TR,36,0,1.48K,0,NO CHANGE,<.01%
78351F107,RYAN,RYAN SPECIALTY HOLDINGS INC,0,-1,0,-59,CLOSE,0%
92537N108,VRT,VERTIV HOLDINGS CO,4686,-1,759.18K,-162.01,-0%,0.96%
464287804,IJR,ISHARES TR,593,-3,71.27K,-360.54,-0.5%,0.09%
20030N101,CMCSA,COMCAST CORP NEW,0,-14,0,-434,CLOSE,0%
682680103,OKE,ONEOK INC NEW,35,-10,2.57K,-735.14,-22.2%,<.01%
464288372,IGF,ISHARES TR,0,-12,0,-740,CLOSE,0%
464287671,IUSG,ISHARES TR,0,-5,0,-831,CLOSE,0%
904767704,UL,UNILEVER PLC,117,-16,7.65K,-1.05K,-12%,<.01%
78464A409,SPYG,SPDR SERIES TRUST,0,-11,0,-1.16K,CLOSE,0%
194162103,CL,COLGATE PALMOLIVE CO,0,-16,0,-1.24K,CLOSE,0%
46432F842,IEFA,ISHARES TR,0,-14,0,-1.24K,CLOSE,0%
464287606,IJK,ISHARES TR,0,-13,0,-1.26K,CLOSE,0%
464287705,IJJ,ISHARES TR,0,-10,0,-1.31K,CLOSE,0%
01609W102,BABA,ALIBABA GROUP HLDG LTD,0,-7,0,-1.32K,CLOSE,0%
670100205,NVO,NOVO-NORDISK A S,169,-27,8.6K,-1.37K,-13.8%,0.01%
57638P104,MBC,MASTERBRAND INC,0,-105,0,-1.38K,CLOSE,0%
464287655,IWM,ISHARES TR,0,-6,0,-1.48K,CLOSE,0%
464287739,IYR,ISHARES TR,0,-16,0,-1.53K,CLOSE,0%
617446448,MS,MORGAN STANLEY,2357,-11,418.44K,-1.95K,-0.5%,0.53%
87612E106,TGT,TARGET CORP,323,-20,31.57K,-1.95K,-5.8%,0.04%
46429B697,USMV,ISHARES TR,0,-21,0,-2K,CLOSE,0%
83444M101,SOLV,SOLVENTUM CORP,39,-30,3.09K,-2.38K,-43.5%,<.01%
30161N101,EXC,EXELON CORP,0,-57,0,-2.64K,CLOSE,0%
776696106,ROP,ROPER TECHNOLOGIES INC,162,-6,72.11K,-2.67K,-3.6%,0.09%
26740W109,QBTS,D-WAVE QUANTUM INC,3500,-108,91.53K,-2.82K,-3%,0.12%
464287663,IUSV,ISHARES TR,0,-28,0,-2.83K,CLOSE,0%
718546104,PSX,PHILLIPS 66,3690,-22,476.16K,-2.84K,-0.6%,0.6%
31609A404,FENI,FIDELITY COVINGTON TRUST,0,-83,0,-2.97K,CLOSE,0%
464287465,EFA,ISHARES TR,0,-32,0,-3.04K,CLOSE,0%
28176E108,EW,EDWARDS LIFESCIENCES CORP,545,-36,46.46K,-3.07K,-6.2%,0.06%
855244109,SBUX,STARBUCKS CORP,205,-38,17.26K,-3.2K,-15.6%,0.02%
22052L104,CTVA,CORTEVA INC,0,-56,0,-3.61K,CLOSE,0%
45675Y104,III,INFORMATION SVCS GROUP INC,11600,-800,52.39K,-3.61K,-6.5%,0.07%
009066101,ABNB,AIRBNB INC,788,-27,106.95K,-3.66K,-3.3%,0.14%
767204100,RIO,RIO TINTO PLC,4658,-50,372.78K,-4K,-1.1%,0.47%
82835W108,SPRY,ARS PHARMACEUTICALS INC,100,-350,1.17K,-4.08K,-77.8%,<.01%
29362U104,ENTG,ENTEGRIS INC,439,-50,36.99K,-4.21K,-10.2%,0.05%
460690100,IPG,INTERPUBLIC GROUP COS INC,0,-155,0,-4.22K,CLOSE,0%
038222105,AMAT,APPLIED MATLS INC,780,-17,200.45K,-4.37K,-2.1%,0.25%
31609A107,FELV,FIDELITY COVINGTON TRUST,0,-136,0,-4.59K,CLOSE,0%
26614N102,DD,DUPONT DE NEMOURS INC,0,-57,0,-4.6K,CLOSE,0%
381430453,GHYB,GOLDMAN SACHS ETF TR,0,-102,0,-4.65K,CLOSE,0%
127387108,CDNS,CADENCE DESIGN SYSTEM INC,252,-15,78.77K,-4.69K,-5.6%,0.1%
14021M107,CGIE,CAPITAL GROUP INTERNATIONAL,0,-138,0,-4.75K,CLOSE,0%
032654105,ADI,ANALOG DEVICES INC,503,-18,136.41K,-4.88K,-3.5%,0.17%
49456B101,KMI,KINDER MORGAN INC DEL,30960,-183,851.09K,-5.03K,-0.6%,1.1%
191216100,KO,COCA COLA CO,3801,-75,265.73K,-5.24K,-1.9%,0.34%
595017104,MCHP,MICROCHIP TECHNOLOGY INC.,0,-79,0,-5.3K,CLOSE,0%
871829107,SYY,SYSCO CORP,543,-73,40.01K,-5.38K,-11.9%,0.05%
34964C106,FBIN,FORTUNE BRANDS INNOVATIONS I,0,-105,0,-5.4K,CLOSE,0%
446413106,HII,HUNTINGTON INGALLS INDS INC,0,-19,0,-5.51K,CLOSE,0%
548661107,LOW,LOWES COS INC,647,-23,156.03K,-5.55K,-3.4%,0.2%
464288661,IEI,ISHARES TR,0,-47,0,-5.61K,CLOSE,0%
46435U556,ARTY,ISHARES TR,0,-115,0,-5.62K,CLOSE,0%
00287Y109,ABBV,ABBVIE INC,2599,-25,593.85K,-5.71K,-1%,0.75%
29250N105,ENB,ENBRIDGE INC,247,-121,11.81K,-5.79K,-32.9%,0.01%
H1467J104,CB,CHUBB LIMITED,160,-19,49.94K,-5.93K,-10.6%,0.06%
882508104,TXN,TEXAS INSTRS INC,1071,-35,185.81K,-6.07K,-3.2%,0.24%
