CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
M87915274,TSEM,TOWER SEMICONDUCTOR LTD,1066,1064,125.17K,124.94K,+53200%,0.03%
585464100,MLCO,MELCO RESORTS AND ENTMNT LTD,14998,14998,113.53K,113.53K,NEW,0.02%
21037T109,CEG,CONSTELLATION ENERGY CORP,567,207,200.3K,73.13K,+57.5%,0.04%
80004C200,SNDK,SANDISK CORP,272,272,64.57K,64.57K,NEW,0.01%
50212V100,LPLA,LPL FINL HLDGS INC,139,139,49.65K,49.65K,NEW,0.01%
256677105,DG,DOLLAR GEN CORP NEW,300,300,39.83K,39.83K,NEW,<.01%
G93A5A101,VIK,VIKING HOLDINGS LTD,7542,508,538.57K,36.28K,+7.2%,0.11%
413216300,HMY,HARMONY GOLD MINING CO LTD,1800,1800,35.82K,35.82K,NEW,<.01%
926400102,VSCO,VICTORIAS SECRET AND CO,600,600,32.5K,32.5K,NEW,<.01%
679295105,OKTA,OKTA INC,278,278,24.04K,24.04K,NEW,<.01%
482480100,KLAC,KLA CORP,19,19,23.09K,23.09K,NEW,<.01%
767204100,RIO,RIO TINTO PLC,3548,285,283.95K,22.81K,+8.7%,0.06%
00108J109,ACMR,ACM RESH INC,479,478,18.9K,18.86K,+47800%,<.01%
04626A103,ALAB,ASTERA LABS INC,349,110,58.06K,18.3K,+46%,0.01%
H5012F103,LAR,LITHIUM ARGENTINA AG,3166,3166,17.67K,17.67K,NEW,<.01%
36118L106,FUTU,FUTU HLDGS LTD,9714,102,1.6M,16.75K,+1.1%,0.33%
219350105,GLW,CORNING INC,434,125,38K,10.94K,+40.5%,<.01%
15101Q207,CLS,CELESTICA INC,100,36,29.56K,10.64K,+56.2%,<.01%
172573107,CRCL,CIRCLE INTERNET GROUP INC,71,71,5.63K,5.63K,NEW,<.01%
88160R101,TSLA,TESLA INC,178,12,80.05K,5.4K,+7.2%,0.02%
609839105,MPWR,MONOLITHIC PWR SYS INC,1,1,906,906,NEW,<.01%
G25457105,CRDO,CREDO TECHNOLOGY GROUP HOLDI,1,1,144,144,NEW,<.01%
73933G202,PSIX,POWER SOLUTIONS INTL INC,2,2,114,114,NEW,<.01%
