CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
G0260P102,AS,AMER SPORTS INC,450328,-106648,16.82M,-3.98M,-19.1%,2%
M2029K104,BIRK,BIRKENSTOCK HOLDING PLC,256156,-100134,10.48M,-4.1M,-28.1%,1.2%
49845K101,KVYO,KLAVIYO INC,0,-153221,0,-4.24M,CLOSE,0%
04280A100,ARWR,ARROWHEAD PHARMACEUTICALS IN,0,-125673,0,-4.33M,CLOSE,0%
15118V207,CELH,CELSIUS HLDGS INC,0,-78857,0,-4.53M,CLOSE,0%
832248207,SFD,SMITHFIELD FOODS INC,0,-200736,0,-4.71M,CLOSE,0%
155923105,CTRI,CENTURI HOLDINGS INC,177016,-190362,4.47M,-4.81M,-51.8%,0.53%
78781J109,SAIL,SAILPOINT INC,24,-241811,486,-4.9M,-100%,<.01%
85423L103,SARO,STANDARDAERO INC,15518,-174203,445.06K,-5M,-91.8%,0.05%
80004C200,SNDK,SANDISK CORP,0,-47315,0,-5.31M,CLOSE,0%
36317J209,GLXY,GALAXY DIGITAL INC.,0,-183419,0,-6.2M,CLOSE,0%
009066101,ABNB,AIRBNB INC,0,-57441,0,-6.97M,CLOSE,0%
159864107,CRL,CHARLES RIV LABS INTL INC,0,-50000,0,-7.82M,CLOSE,0%
G5279N105,KLAR,KLARNA GROUP PLC,115000,-290590,3.32M,-8.4M,-71.6%,0.4%
237194105,DRI,DARDEN RESTAURANTS INC,0,-46016,0,-8.76M,CLOSE,0%
235851102,DHR,DANAHER CORPORATION,0,-50000,0,-9.91M,CLOSE,0%
60741F104,MBLY,MOBILEYE GLOBAL INC,0,-873325,0,-12.33M,CLOSE,0%
10950A106,BTSG,BRIGHTSPRING HEALTH SVCS INC,0,-532294,0,-15.73M,CLOSE,0%
G93A5A101,VIK,VIKING HOLDINGS LTD,50000,-232739,3.57M,-16.62M,-82.3%,0.42%
86384P109,STUB,STUBHUB HLDGS INC,1450047,-1245558,19.62M,-16.85M,-46.2%,2.3%
436440101,HOLX,HOLOGIC INC,0,-614934,0,-41.5M,CLOSE,0%
Total,,,,,840.84M,376.61M,+80.1%,100%
