CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
03784Y200,APLE,APPLE HOSPITALITY REIT INC,6513,-196180,78.22K,-2.36M,-96.8%,<.01%
90041L105,TPB,TURNING PT BRANDS INC,18840,-23867,1.86M,-2.36M,-55.9%,0.05%
828806109,SPG,SIMONPPTYGROUPINCNEW,0,-14705,0,-2.36M,CLOSE,0%
92532F100,VRTX,VERTEX PHARMACEUTICALS INC,24416,-6040,9.56M,-2.37M,-19.8%,0.24%
52567D107,LMND,LEMONADE INC,37835,-45167,2.03M,-2.42M,-54.4%,0.05%
002896207,ANF,ABERCROMBIE&amp;FITCHCO,0,-29411,0,-2.44M,CLOSE,0%
426281101,JKHY,HENRY JACK &amp; ASSOC INC,3876,-16518,577.25K,-2.46M,-81%,0.01%
98954M200,Z,ZILLOWGROUPINC,0,-36382,0,-2.55M,CLOSE,0%
750917106,RMBS,RAMBUSINCDEL,0,-40887,0,-2.62M,CLOSE,0%
00130H105,AES,AES CORP,28647,-202415,377K,-2.66M,-87.6%,<.01%
78464A698,KRE,SPDR SERIES TRUST,380963,-42405,24.11M,-2.68M,-10%,0.6%
714266103,PPTA,PERPETUARESOURCESCORP,0,-228357,0,-2.77M,CLOSE,0%
90138F102,TWLO,TWILIO INC,102893,-27976,10.3M,-2.8M,-21.4%,0.26%
596278101,MIDD,MIDDLEBYCORP,0,-19652,0,-2.83M,CLOSE,0%
088606108,BHP,BHPGROUPLTD,0,-60334,0,-2.9M,CLOSE,0%
29476L107,EQR,EQUITY RESIDENTIAL,4453,-45440,288.24K,-2.94M,-91.1%,<.01%
055622104,BP,BP PLC,243137,-86845,8.38M,-2.99M,-26.3%,0.21%
035710839,NLY,ANNALY CAPITAL MANAGEMENT IN,1332,-148818,26.92K,-3.01M,-99.1%,<.01%
844741108,LUV,SOUTHWEST AIRLS CO,318318,-97048,10.16M,-3.1M,-23.4%,0.25%
144285103,CRS,CARPENTERTECHNOLOGYCORP,0,-11290,0,-3.12M,CLOSE,0%
086516101,BBY,BEST BUY INC,45880,-42004,3.47M,-3.18M,-47.8%,0.09%
172573107,CRCL,CIRCLEINTERNETGROUPINC,0,-17600,0,-3.19M,CLOSE,0%
031162100,AMGN,AMGEN INC,3056,-11329,862.4K,-3.2M,-78.8%,0.02%
219350105,GLW,CORNINGINC,0,-61353,0,-3.23M,CLOSE,0%
571903202,MAR,MARRIOTT INTL INC NEW,35202,-12999,9.17M,-3.39M,-27%,0.23%
52603B107,TREE,LENDINGTREEINCNEW,0,-91635,0,-3.4M,CLOSE,0%
G43658106,IMSR,HCM II ACQUISITION CORP,41389,-211972,679.19K,-3.48M,-83.7%,0.02%
122017106,BURL,BURLINGTON STORES INC,45220,-13924,11.51M,-3.54M,-23.5%,0.29%
443573100,HUBS,HUBSPOT INC,10357,-7814,4.85M,-3.66M,-43%,0.12%
25400Q105,DJT,TRUMPMEDIA&amp;TECHNOLOGYGRO,0,-205510,0,-3.71M,CLOSE,0%
42824C109,HPE,HEWLETT PACKARD ENTERPRISE C,211758,-152632,5.2M,-3.75M,-41.9%,0.13%
260003108,DOV,DOVER CORP,4774,-23183,796.45K,-3.87M,-82.9%,0.02%
G81276100,SIG,SIGNETJEWELERSLIMITED,0,-49008,0,-3.9M,CLOSE,0%
82982T106,SITM,SITIME CORP,11630,-13059,3.5M,-3.93M,-52.9%,0.09%
433000106,HIMS,HIMS &amp; HERS HEALTH INC,19806,-73851,1.12M,-4.19M,-78.9%,0.03%
81141R100,SE,SEALTD,0,-26667,0,-4.27M,CLOSE,0%
464287655,IWM,ISHARES TR,87400,-18713,21.15M,-4.53M,-17.6%,0.53%
81762P102,NOW,SERVICENOW INC,3047,-4981,2.8M,-4.58M,-62%,0.07%
880770102,TER,TERADYNEINC,0,-52065,0,-4.68M,CLOSE,0%
92343V104,VZ,VERIZONCOMMUNICATIONSINC,0,-111651,0,-4.83M,CLOSE,0%
60770K107,MRNA,MODERNA INC,124481,-189657,3.22M,-4.9M,-60.4%,0.08%
14448C104,CARR,CARRIER GLOBAL CORPORATION,38458,-86726,2.3M,-5.18M,-69.3%,0.06%
25401T603,DBRG,DIGITALBRIDGE GROUP INC,110415,-455809,1.29M,-5.33M,-80.5%,0.03%
974155103,WING,WINGSTOPINC,0,-15994,0,-5.39M,CLOSE,0%
617446448,MS,MORGAN STANLEY,87752,-34121,13.95M,-5.42M,-28%,0.35%
649445400,FLG,FLAGSTAR FINANCIAL INC,32096,-495956,370.71K,-5.73M,-93.9%,<.01%
11271J107,BN,BROOKFIELDCORP,0,-96051,0,-5.94M,CLOSE,0%
134429109,CPB,THECAMPBELLSCOMPANY,0,-198142,0,-6.07M,CLOSE,0%
464287184,FXI,ISHARESTR,0,-168676,0,-6.2M,CLOSE,0%
032654105,ADI,ANALOG DEVICES INC,12415,-25242,3.05M,-6.2M,-67%,0.08%
87256C101,TKO,TKOGROUPHOLDINGSINC,0,-35060,0,-6.38M,CLOSE,0%
90353T100,UBER,UBERTECHNOLOGIESINC,0,-70050,0,-6.54M,CLOSE,0%
855244109,SBUX,STARBUCKS CORP,14755,-77773,1.25M,-6.58M,-84.1%,0.03%
025816109,AXP,AMERICAN EXPRESS CO,82249,-19829,27.32M,-6.59M,-19.4%,0.68%
651639106,NEM,NEWMONTCORP,0,-114714,0,-6.68M,CLOSE,0%
674599105,OXY,OCCIDENTAL PETE CORP,19508,-149691,921.75K,-7.07M,-88.5%,0.02%
46982L108,J,JACOBSSOLUTIONSINC,0,-55844,0,-7.34M,CLOSE,0%
043436104,ABG,ASBURYAUTOMOTIVEGROUPINC,0,-31186,0,-7.44M,CLOSE,0%
29452E101,EQH,EQUITABLEHLDGSINC,0,-137452,0,-7.71M,CLOSE,0%
00971T101,AKAM,AKAMAITECHNOLOGIESINC,0,-97209,0,-7.75M,CLOSE,0%
36467W109,GME,GAMESTOPCORPNEW,0,-339131,0,-8.27M,CLOSE,0%
767292105,RIOT,RIOTPLATFORMSINC,0,-746082,0,-8.43M,CLOSE,0%
M2682V108,CYBR,CYBERARK SOFTWARE LTD,1151,-17845,556.07K,-8.62M,-93.9%,0.01%
78464A870,XBI,SPDRSERIESTRUST,0,-118991,0,-9.87M,CLOSE,0%
